COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
COMP-191519,,,,01/08/2015,Trade Waste,Active,311/PHONE - 9278,Unsubstantiated,Closed,5.0,Complaint,Containers-Unremoved - Trade Waste;Containers-Abandoned - Trade Waste,121 Seaman Ave,New York,NY,10034-1922,Manhattan,,,,,,,,,,,,False,True,,2024-02-21,MANHATTAN,40.86875,-73.923233,12,10,295,1064971,1022400006,Marble Hill-Inwood
COMP-195283,Trade Waste,CENTURY WASTE SERVICES L.L.C.,BIC-1323,01/22/2020,Trade Waste,Active,PHONE - 6300,Resolved,Closed,6.0,Complaint,Service - All,121 Varrick Street,New York,NY,10013,Manhattan,CENTURY WASTE SERVICES L.L.C.,623 DOWD AVENUE,ELIZABETH,NJ,07201-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01712,,,,,Trade Waste,,PHONE - 6275,Resolved,Closed,,Inquiry,Rates-Overcharge - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193260,Trade Waste,"EMPIRE STATE ENVIRONMENTAL COMPANY, LLC",BIC-4644,12/01/2016,Trade Waste,Active,PHONE - 6300,Violation Written,Closed,1.0,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,98 Williams Ave,Brooklyn,NY,11207,Brooklyn,"EMPIRE STATE ENVIRONMENTAL COMPANY, LLC",81 WORTH STREET,NEW YORK,NY,10013-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.674166,-73.900324,5,37,1144,,,East New York (Pennsylvania Ave)
INQ-193096,,,,08/22/2016,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2012-00307,,,,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,40 Wall st.,Ny,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01436,,ATLAS SANITATION CO. INC.,TWC-241,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Service - All,49-12 Skillman Ave.,,NY,,Bronx,ATLAS SANITATION CO. INC.,156-19 107TH AVENUE,JAMAICA,RENEWAL APPROVED,,(718) 206-2450,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196921,Trade Waste,ROYAL WASTE SERVICES INC.,BIC-1240,05/31/2023,Trade Waste,Active,PHONE - OTHER,Resolved,Closed,1.0,Complaint,Other - All,1353 Castle Hill Avenue,Bronx,NY,10462,Bronx,ROYAL WASTE SERVICES INC.,168-46 DOUGLAS AVENUE,JAMAICA,NY,11433-,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.835764,-73.852116,9,18,222,2000000,2039350058,Parkchester
2009-01193,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-196953,,,,06/26/2023,Trade Waste,,WEB-MAIL,Resolved,Closed,1.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00358,,M. LORUSSO CARTING CORP.,TWC-55,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,"449 Court Street, Brooklyn, NY",,NY,,,M. LORUSSO CARTING CORP.,704 3 AVENUE,BROOKLYN,RENEWAL APPROVED,,(718) 768-3168,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00875,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195905,,,,04/26/2021,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,0.0,Complaint,Disposal - All,90-16 Corona Avenue,Elmhurst,NY,11373,Queens,,,,,,,,,,,,False,True,,2024-02-21,QUEENS,40.741811,-73.874572,4,25,461,4045612,4018470047,Elmhurst
COMP-195881,,ZEUS WASTE MANAGEMENT INC.,,04/12/2021,Trade Waste,,WEB-MAIL,Insufficient Information,Closed,10.0,Complaint,Other - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193730,Trade Waste,SANITATION SALVAGE CORP.,BIC-172,11/03/2017,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,5.0,Complaint,Quality of Life-Noise - Trade Waste;Recycling - Trade Waste,23 Commerce Street,Manhattan,NY,10014,Manhattan,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,NY,10474,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.731657,-74.004597,2,3,67,1009961,1005870046,West Village
INQ-196697,,,,10/20/2022,Trade Waste,,PHONE - OTHER,Resolved,Closed,5.0,Inquiry,Service - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2007-00738,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00813,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00044,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01695,,IMPERIAL SANITATION CORP.,TWC-340,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Soliciting - Trade Waste,,,,,,IMPERIAL SANITATION CORP.,18-61 41ST STREET,ASTORIA,RENEWAL APPROVED,,(718) 721-2323,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00502,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Misinformation - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-196241,,,,11/01/2021,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Other - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01162,,,,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,86-45 Santiago St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-193843,,,,01/22/2018,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,0.0,Inquiry,Quality of Life-Spillage - Trade Waste,,Bronx,NY,,Bronx,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2012-00088,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-189952,Trade Waste;Transfer Station,TULLY ENVIRONMENTAL INC.,"BIC-1272,TS-14,TS-183",12/30/2013,Trade Waste,Active,FAX,Unsubstantiated,Closed,9.0,Complaint,Soliciting - Trade Waste,,Northern Blvd.,NY,,Queens,TULLY ENVIRONMENTAL INC.,127-50 NORTHERN BLVD,FLUSHING,NY,11368-,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2012-00704,,"CINELLI CARTING CO., INC.",TWC-222,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Cardboard-Theft - Trade Waste,btwn Crescent st. and Steinway,Astoria,NY,,Queens,CINELLI CARTING INC.,150-11 GUINZBURG ROAD,JAMAICA,RENEWAL APPROVED,,(718) 523-1881,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00545,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01156,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191409,Market,"FIVE STAR SEAFOOD, INC.",FFM-137,12/05/2014,Trade Waste,Active,WEB-MAIL,Unsubstantiated,Closed,12.0,Complaint,Billing - All,124 W 30Th St - room 301,New York,NY,10001-4009,Manhattan,"FIVE STAR SEAFOOD, INC.",P.O.BOX 212,GLENWOOD,NJ,07418,,,,,,,True,False,E-Mail,2024-02-21,MANHATTAN,40.747653,-73.990537,5,3,95,,,Midtown-Midtown South
COMP-193217,Trade Waste,"BIO ENERGY DEVELOPMENT, INC.",BIC-3525,10/24/2016,Trade Waste,Active,PHONE - 6300,Violation Written,Closed,1.0,Complaint,Waste Oil - Trade Waste,766 9th Avenue,New York,NY,10019,Manhattan,"BIO ENERGY DEVELOPMENT, INC.",9 DIANAS CIRCLE,ROSLYN,NY,11576-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.7643,-73.988344,4,3,133,1025193,1010420003,Clinton
2013-00383,,"ABC CARTING, INC.",TWC-3383,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,East 22nd & roadway,NY,NY,10010-,NYC,ABC CARTING INC.,245 WILSON AVENUE,BROOKLYN,RENEWAL APPROVED,,(347) 622-5939,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00946,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,504 Classon Ave.,,NY,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190909,,,,08/04/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,2.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-191660,,,,02/20/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,5.0,Complaint,Unlicensed Carter - Trade Waste,5901 Palisade Ave,Bronx,NY,10471-1205,Bronx,,,,,,,,,,,,False,True,,2024-02-21,BRONX,40.908233,-73.90897,8,11,309,2116428,2059330224,North Riverdale-Fieldston-Riverdale
2011-01302,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Information - All;Criminal - All,UNKNOWN,Bronx,NY,,Bronx,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00421,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-00903,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Quality of Life-Noise - Trade Waste;Other - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00097,,,TWC-NaN,,Trade Waste,,PHONE - 6275,Insufficient Information,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00301,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00080,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190410,,,,04/06/2014,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,1.0,Inquiry,Other - All,,Bronx,NY,,Bronx,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-00675,,MR. T CARTING CORP.,TWC-173,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,18-59 Ditmars Blvd (19 & Ditmars),nyc,NY,,Queens,MR. T CARTING CORP.,73-04 EDSALL AVENUE,GLENDALE,RENEWAL PENDING,,(718) 366-0834,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195814,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,02/16/2021,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Containers-Unremoved - Trade Waste,,,,,,LIBERTY ASHES INC.,94-02 150TH STREET,JAMAICA,NY,11435,,,,,,,False,True,,2024-02-21,,,,,,,,,
INQ-191406,,,,12/05/2014,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00763,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00579,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-189851,Trade Waste,DI TRUCKING LLC,BIC-3921,12/05/2013,Trade Waste,Active,SELF-INITIATED,Violation Written,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,DI TRUCKING LLC,"110 JABEZ STREET, SUITE 231",NEWARK,NJ,07105-,,,,,,,True,False,In Person,2024-02-21,,,,,,,,,
2011-00591,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01134,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,,Complaint,Termination Notice - Trade Waste,,,,,,N/A,,,,11366-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00135,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01761,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Inquiry,Unlicensed Carter - Trade Waste,83-84 115 St.,,NY,,,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190659,,,,06/06/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,29 Newkirk Plaza,New York,,11226,Brooklyn,,,,,,,,,,,,False,False,,2024-02-21,BROOKLYN,40.635376,-73.962817,14,40,520,3121195,3052360040,Flatbush
2013-00664,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Other - All,,,,,,N/A,,,,11201-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02162,,ARMAGH CONTRACTING INC.,TWC-2413,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Other - All,102 St. and 5th,nyc,NY,,NYC,ARMAGH CONTRACTING INC.,1420 GRAND CONCOURSE APT 2K,BRONX,APPROVED,,(718) 300-1102,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00068,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195015,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,07/25/2019,Trade Waste,Active,PHONE - 6300,Resolved,Closed,4.0,Complaint,Service - All,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00101,,"CONEY ISLAND CONTAINER, INC.",TWC-1629,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,,,NY,,,"CONEY ISLAND CONTAINER, INC.",335 CHELSEA ROAD,STATEN ISLAND,RENEWAL PENDING,,(718) 966-2611,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00496,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00806,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,7102 Kissena Blvd.,UNKNOWN,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL PENDING,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01760,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Inquiry,Unlicensed Carter - Trade Waste,119-21 14 Ave.,,NY,,,Turf & Garden Landscaping,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00076,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All;Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196110,,,,08/18/2021,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,6.0,Complaint,Other - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-190639,Trade Waste,MR. T CARTING CORP.,BIC-173,06/02/2014,Trade Waste,Active,PHONE - 6300,Referred to Another Agency,Closed,9.0,Complaint,Contracts - Trade Waste,7023 Austin Street,Queens,NY,11375,Queens,MR. T CARTING CORP.,73-10 EDSALL AVENUE,GLENDALE,NY,11385,,,,,,,False,True,,2024-02-21,QUEENS,40.720708,-73.846252,6,29,711,4314648,4032387502,Forest Hills
INQ-191762,,,,03/26/2015,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01066,,,,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,227/229 E 47 St.,nyc,NY,,NYC,N/A,,,,08816-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00210,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01158,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00929,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,124-32 193 St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01811,,CROWN WASTE CORP,TWC-311,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Billing - All;Contracts - Trade Waste;Service - All,,,,,,CROWN WASTE CORP,326 BROADWAY SUITE A,BETHPAGE,RENEWAL APPROVED,,(516) 827-5060,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192126,,,,07/02/2015,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2007-00696,,NEW YORK WASTE & RECYCLING INC.,TWC-1156,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Other - All,,,NY,,,NEW YORK WASTE & RECYCLING INC.,126 13 STREET,BROOKLYN,WITHDRAWN,,(718) 788-1400,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01720,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00691,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,10026-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193283,,,,12/19/2016,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste;Illegal Dumping - Trade Waste,48 Coffey Street,Red Hook,NY,11231,Brooklyn,,,,,,,,,,,,False,True,,2024-02-21,BROOKLYN,40.674722,-74.0119,6,38,53,3339083,3005880043,Carroll Gardens-Columbia Street-Red Hook
2008-01570,,"M & G CARTING, LLC",TWC-87,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Service - All,1933 86 St.,,NY,,Brooklyn,M&G CARTING CO LLC.,303 5 AVENUE,NEW YORK,RENEWAL EXTENSION,,(212) 689-0332,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00735,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Information - All;Contracts - Trade Waste,2503 Parsons blvd.,Flushing,NY,11354-,Queens,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,QUEENS,40.776474,-73.824359,7,20,1047,4108020,4047790009,Murray Hill
2009-02007,,MAURO LANDSCAPING CORP.,TWC-3550,,Trade Waste,,PHONE - 6275,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,MAURO LANDSCAPING CORP,570 PEARL STREET,OCEANSIDE,PENDING,,(516) 678-3748,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00977,,,TWC-0,,Trade Waste,,PHONE,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,536 madison Ave.,UNKNOWN,NY,,NYC,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01033,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,68-02/68-04 Fleet St,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00874,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-00965,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Information - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01876,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192813,Trade Waste,"A.A. DANZO SANITATION, INC.",BIC-4072,04/01/2016,Trade Waste,Active,REFERRED BY OTHER AGENCY,Resolved,Closed,42.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,A.A. DANZO SANITATION INC.,131 SCOOTER LANE,HICKSVILLE,NY,11801-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-194229,,,,08/03/2018,Trade Waste,,WEB-MAIL,Resolved,Closed,3.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-02186,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,19-17 235 St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00804,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01632,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Inquiry,Unlicensed Carter - Trade Waste,52-20 Douglaston Pkwy,,NY,,,,10 Star Light Ct.,W.Babylon,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01598,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Quality of Life-Spillage - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00403,,,TWC-1059,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,419 Park Ave South,nyc,NY,,NYC,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.",1099 WALL STREET WEST,LYNDHURST,RENEWAL PENDING,,(201) 443-3000,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196805,,,,02/23/2023,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,1.0,Complaint,Containers-Unremoved - Trade Waste;Quality of Life-Spillage - Trade Waste,2007 86th Street,Brooklyn,NY,11214,Brooklyn,,,,,,,,,,,,False,True,,2024-02-21,BROOKLYN,40.604473,-73.998005,11,47,288,3165828,3063460005,Bensonhurst West
2010-01228,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,86-79 Palermo St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01065,,,TWC-604,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Quality of Life-Spillage - Trade Waste;Disposal - All,W. 73 St.,nyc,NY,,NYC,M&M SANITATION CORP.,480 WILSON AVE,NEWARK,RENEWAL APPROVED,,(973) 274-1002,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00966,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00154,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00005,,,TWC-93,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,668 Castleton Ave.,Staten Island,NY,10301-,Staten Island,GAETA INTERIOR DEMOLITION INC.,25 VAN STREET,STATEN ISLAND,RENEWAL APPROVED,10301-,(718) 720-7220,,,,,,False,False,,2024-02-21,STATEN IS,40.634692,-74.104996,1,49,67,5132966,5001330043,New Brighton-Silver Lake
2008-00048,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
